Package                                  Version
---------------------------------------- ---------------
aiofiles                                 25.1.0
aiohappyeyeballs                         2.7.1
aiohttp                                  3.14.3
aiosignal                                1.4.0
annotated-doc                            0.0.5
annotated-types                          0.8.0
anyio                                    4.14.2
attrs                                    26.1.0
av                                       18.1.0
babel                                    2.18.0
certifi                                  2026.7.22
cffi                                     2.1.1
charset-normalizer                       3.5.0
click                                    8.4.2
colorama                                 0.4.6
cryptography                             50.0.0
csvw                                     4.1.0
ctranslate2                              4.8.1
defusedxml                               0.7.1
discord.py                               2.7.1
distro                                   1.9.0
dlinfo                                   2.0.0
docopt                                   0.6.2
docstring_parser                         0.18.0
espeakng-loader                          0.2.4
eval_type_backport                       0.4.0
fastapi                                  0.141.1
faster-whisper                           1.2.1
filelock                                 3.32.3
flatbuffers                              25.12.19
frozenlist                               1.8.0
fsspec                                   2026.7.0
google-auth                              2.56.3
google-genai                             2.17.0
googleapis-common-protos                 1.75.1
grpcio                                   1.83.0
h11                                      0.16.0
hf-xet                                   1.6.0
httpcore                                 1.0.9
httpx                                    0.28.1
huggingface_hub                          1.27.0
idna                                     3.18
isodate                                  0.7.2
jiter                                    0.16.0
joblib                                   1.5.3
json_repair                              0.60.1
jsonschema                               4.26.0
jsonschema-specifications                2025.9.1
kokoro-onnx                              0.5.0
language-tags                            1.3.1
livekit                                  1.1.14
livekit-agents                           1.6.10
livekit-api                              1.2.0
livekit-blingfire                        1.1.0
livekit-local-inference                  0.2.6
livekit-protocol                         1.1.22
llvmlite                                 0.49.0
loguru                                   0.7.3
Markdown                                 3.10.3
markdown-it-py                           4.2.0
mdurl                                    0.1.2
mpmath                                   1.3.0
multidict                                6.7.1
nest-asyncio                             1.6.0
nltk                                     3.10.3
num2words                                0.5.14
numba                                    0.67.0
numpy                                    2.4.6
onnxruntime                              1.24.4
openai                                   2.54.0
opentelemetry-api                        1.44.0
opentelemetry-exporter-otlp              1.44.0
opentelemetry-exporter-otlp-proto-common 1.44.0
opentelemetry-exporter-otlp-proto-grpc   1.44.0
opentelemetry-exporter-otlp-proto-http   1.44.0
opentelemetry-proto                      1.44.0
opentelemetry-sdk                        1.44.0
opentelemetry-semantic-conventions       0.65b0
packaging                                26.3
phonemizer-fork                          3.3.2
pillow                                   12.3.0
pip                                      26.2.1
pipecat-ai                               1.7.0
prometheus_client                        0.26.0
propcache                                0.5.2
protobuf                                 6.33.6
psutil                                   7.2.2
pyasn1                                   0.6.4
pyasn1_modules                           0.4.2
pycparser                                3.0
pydantic                                 2.13.4
pydantic_core                            2.46.4
Pygments                                 2.20.0
PyJWT                                    2.13.0
pyloudnorm                               0.2.0
pyparsing                                3.3.2
python-dateutil                          2.9.0.post0
python-dotenv                            1.2.2
python-multipart                         0.0.32
PyYAML                                   6.0.3
rdflib                                   7.6.0
referencing                              0.37.0
regex                                    2026.7.19
requests                                 2.34.2
resampy                                  0.4.3
rfc3986                                  1.5.0
rich                                     15.0.0
rpds-py                                  2026.6.3
scipy                                    1.17.1
segments                                 2.4.0
setuptools                               79.0.1
shellingham                              1.5.4
six                                      1.17.0
sniffio                                  1.3.1
sounddevice                              0.5.5
soundfile                                0.14.0
soxr                                     1.0.0
starlette                                1.6.0
sympy                                    1.14.0
tenacity                                 9.1.4
termcolor                                3.3.0
tokenizers                               0.23.1
tqdm                                     4.70.0
typer                                    0.27.1
types-protobuf                           7.34.1.20260518
typing_extensions                        4.16.0
typing-inspection                        0.4.3
uritemplate                              4.2.0
urllib3                                  2.7.0
uvicorn                                  0.52.1
wait_for2                                0.4.1
watchfiles                               1.2.0
websockets                               16.1.1
win32_setctime                           1.2.0
yarl                                     1.24.5
