"DisplayName","DisplayVersion","Publisher","InstallLocation"
"Amazon Games","3.0.9782.3","Amazon.com Services, Inc.","C:\Users\enrik\AppData\Local\Amazon Games\App"
"Android SDK Platform-Tools","37.0.1","Google LLC","C:\Users\enrik\AppData\Local\Microsoft\WinGet\Packages\Google.PlatformTools_Microsoft.Winget.Source_8wekyb3d8bbwe"
"Ascension Launcher 1.0.102","1.0.102",,
"Discord","1.0.9252","Discord Inc.","C:\Users\enrik\AppData\Local\Discord"
"fastfetch","2.67.1","fastfetch-cli","C:\Users\enrik\AppData\Local\Microsoft\WinGet\Packages\Fastfetch-cli.Fastfetch_Microsoft.Winget.Source_8wekyb3d8bbwe"
"Google AI Studio","1.0","BraveSoftware\Brave-Browser",
"League of Legends",,"Riot Games, Inc","D:\Riot Games\League of Legends"
"Ollama version 0.32.11","0.32.11","Ollama","G:\Ollama\"
"Python 3.12.10 (64-bit)","3.12.10150.0","Python Software Foundation",
"ReviewTool.gg 0.5.1","0.5.1","ReviewTool.gg",
"Riot Client ",,"Riot Games, Inc","D:/Riot Games/Riot Client"
"SignalRgb","2.5.74","WhirlwindFX","C:\Users\enrik\AppData\Local\VortxEngine"
"TCPView","4.19","Sysinternals","C:\Users\enrik\AppData\Local\Microsoft\WinGet\Packages\Microsoft.Sysinternals.TCPView_Microsoft.Winget.Source_8wekyb3d8bbwe"
"Top Heroes","1.115.11","River Game HK Limited","C:\Users\enrik\AppData\Local\TopHeroes"
"Top Heroes Store","1.0","BraveSoftware\Brave-Browser",
"Wago App 2.12.1","2.12.1","The Wago Dev Team",
"Warperia 1.7.5","1.7.5","The Warperia Team",
"WowUp 2.22.0","2.22.0","WowUp LLC",
