Package                      Version     Editable project location
---------------------------- ----------- ------------------------------------------------
agent-client-protocol        0.9.0
aiohappyeyeballs             2.6.1
aiohttp                      3.14.1
aiosignal                    1.4.0
annotated-doc                0.0.4
annotated-types              0.7.0
anyio                        4.12.1
attrs                        25.4.0
blake3                       1.0.9
certifi                      2026.5.20
cffi                         2.0.0
charset-normalizer           3.4.4
click                        8.4.2
colorama                     0.4.6
concurrent-log-handler       0.9.29
croniter                     6.0.0
cryptography                 46.0.7
defusedxml                   0.7.1
discord.py                   2.7.1
distro                       1.9.0
edge-tts                     7.2.7
fastapi                      0.133.1
filelock                     3.32.2
fire                         0.7.1
frozenlist                   1.8.0
fsspec                       2026.7.0
google-ai-generativelanguage 0.6.15
google-api-core              2.30.3
google-api-python-client     2.194.0
google-auth                  2.56.2
google-auth-httplib2         0.3.1
google-auth-oauthlib         1.3.1
google-genai                 2.16.0
google-generativeai          0.8.6
googleapis-common-protos     1.73.0
groq                         1.6.0
grpcio                       1.83.0
grpcio-status                1.71.2
h11                          0.16.0
hermes-agent                 0.18.2      C:\Users\enrik\AppData\Local\hermes\hermes-agent
hf-xet                       1.6.0
httpcore                     1.0.9
httplib2                     0.31.2
httptools                    0.7.1
httpx                        0.28.1
httpx-sse                    0.4.3
huggingface_hub              1.27.0
idna                         3.15
iniconfig                    2.3.0
Jinja2                       3.1.6
jiter                        0.13.0
jsonschema                   4.26.0
jsonschema-specifications    2025.9.1
Markdown                     3.10.2
markdown-it-py               4.0.0
MarkupSafe                   3.0.3
mcp                          1.26.0
mdurl                        0.1.2
mss                          10.2.0
multidict                    6.7.1
oauthlib                     3.3.1
ollama                       0.6.2
openai                       2.24.0
packaging                    26.0
pathspec                     1.1.1
pillow                       12.2.0
pip                          26.2.1
pluggy                       1.6.0
portalocker                  3.2.0
prompt_toolkit               3.0.52
propcache                    0.4.1
proto-plus                   1.27.2
protobuf                     5.29.6
psutil                       7.2.2
pyasn1                       0.6.3
pyasn1_modules               0.4.2
pycparser                    3.0
pydantic                     2.13.4
pydantic_core                2.46.4
pydantic-settings            2.13.1
Pygments                     2.19.2
PyJWT                        2.13.0
pyparsing                    3.3.2
pytest                       9.1.1
python-dateutil              2.9.0.post0
python-dotenv                1.2.2
python-multipart             0.0.27
pytz                         2025.2
pywin32                      311
pywinpty                     2.0.15
PyYAML                       6.0.3
referencing                  0.37.0
requests                     2.33.0
requests-oauthlib            2.0.0
rich                         14.3.3
rpds-py                      0.30.0
ruamel.yaml                  0.18.17
ruamel.yaml.clib             0.2.15
setuptools                   79.0.1
simple-term-menu             1.6.6
six                          1.17.0
sniffio                      1.3.1
socksio                      1.0.0
sse-starlette                3.3.2
starlette                    1.0.1
tabulate                     0.10.0
tenacity                     9.1.4
termcolor                    3.3.0
tqdm                         4.67.3
typing_extensions            4.15.0
typing-inspection            0.4.2
tzdata                       2025.3
uritemplate                  4.2.0
urllib3                      2.7.0
uvicorn                      0.41.0
watchfiles                   1.1.1
wcwidth                      0.6.0
websockets                   15.0.1
yarl                         1.22.0
youtube-transcript-api       1.2.4
