"DisplayName","DisplayVersion","Publisher","InstallLocation","UninstallString"
"7-Zip 26.02 (x64)","26.02","Igor Pavlov","C:\Program Files\7-Zip\","""C:\Program Files\7-Zip\Uninstall.exe"""
"Amazon Games","3.0.9782.3","Amazon.com Services, Inc.","C:\Users\enrik\AppData\Local\Amazon Games\App","""C:\Users\enrik\AppData\Local\Amazon Games\App\Uninstall Amazon Games.exe"" /X{4DD10B06-78A4-4E6F-AA39-25E9C38FA568}"
"AMD Chipset Software","8.02.18.557","Advanced Micro Devices, Inc.",,"""C:\Program Files (x86)\AMD\Chipset_Software\QT_Dependencies\Setup.exe"" /U {be7d92a7-48a3-4400-a6bd-f687db0c75a8}"
"AMD GPIO2 Driver","2.2.0.130","Advanced Micro Devices, Inc.",,"MsiExec.exe /X{E9DD399F-21A3-479E-A7DF-D6CF4B2ADBF3}"
"AMD PCI Driver","1.0.0.90","Advanced Micro Devices, Inc.",,"MsiExec.exe /X{80EC3CEE-2940-42A1-A776-B5D810D39F1E}"
"AMD PSP Driver","5.27.0.0","Advanced Micro Devices, Inc.",,"MsiExec.exe /X{988F14B8-79A8-475D-BAC7-83F96AD3D821}"
"AMD Ryzen Balanced Driver","8.0.0.13","Advanced Micro Devices, Inc.",,"MsiExec.exe /X{A171D320-C42C-4F3B-A2D8-C6A09F6788CC}"
"AMD Ryzen Master","2.14.2.3341","Advanced Micro Devices, Inc.","C:\Program Files\AMD\RyzenMaster\","MsiExec.exe /X{02247819-03CD-414E-AC8D-FD518BFBA445}"
"AMD SBxxx SMBus Driver","5.12.0.38","Advanced Micro Devices, Inc.",,"MsiExec.exe /X{AAE0E27D-C88A-49BA-8715-77ADCD4286A3}"
"AMD_Chipset_Drivers","8.02.18.557","Advanced Micro Devices, Inc.",,"MsiExec.exe /X{be7d92a7-48a3-4400-a6bd-f687db0c75a8}"
"Android SDK Platform-Tools","37.0.1","Google LLC","C:\Users\enrik\AppData\Local\Microsoft\WinGet\Packages\Google.PlatformTools_Microsoft.Winget.Source_8wekyb3d8bbwe","winget uninstall --product-code Google.PlatformTools_Microsoft.Winget.Source_8wekyb3d8bbwe"
"Anniversaire de Burning Crusade",,"Blizzard Entertainment","F:\World of Warcraft","""C:\ProgramData\Battle.net\Agent\Blizzard Uninstaller.exe"" --lang=frFR --uid=wow_classic_anniversary --displayname=""Anniversaire de Burning Crusade"""
"Application Verifier x64 External Package (DesktopEditions)","10.1.26100.7705","Microsoft","","MsiExec.exe /I{D75B3C63-F3BB-5EC1-45A7-15C00BBB9D3F}"
"Application Verifier x64 External Package (OnecoreUAP)","10.1.26100.7705","Microsoft","","MsiExec.exe /I{601DDF69-FCF4-F568-946A-C17046C946E4}"
"Ascension Launcher 1.0.102","1.0.102",,,"""F:\Ascension\Launcher\Uninstall Ascension Launcher.exe"" /currentuser"
