2026-08-09 22:40:21.298 | E-ZZIO CODE RELOCATION ENGINE START
2026-08-09 22:40:30.005 | DRY-RUN terminé — aucune modification
2026-08-09 22:40:45.429 | Execution cancelled by user
2026-08-09 22:40:45.761 | MOVE CANDIDATE | C:\Users\enrik\.cache\codex-runtimes\codex-primary-runtime\dependencies\python\Lib\venv -> G:\AI\E-zzio\.venv
2026-08-09 22:40:45.766 | MOVE CANDIDATE | C:\Users\enrik\.ssh\oracle_ezzio.pub -> G:\AI\E-zzio\runtime\external\oracle_ezzio.pub
2026-08-09 22:40:45.774 | MOVE SUCCESS | C:\Users\enrik\.ssh\oracle_ezzio.pub -> G:\AI\E-zzio\runtime\external\oracle_ezzio.pub
2026-08-09 22:40:45.782 | MOVE CANDIDATE | C:\Users\enrik\Desktop\ezzio_tree.txt -> G:\AI\E-zzio\runtime\external\ezzio_tree.txt
2026-08-09 22:40:45.791 | MOVE SUCCESS | C:\Users\enrik\Desktop\ezzio_tree.txt -> G:\AI\E-zzio\runtime\external\ezzio_tree.txt
2026-08-09 22:40:45.792 | MOVE CANDIDATE | C:\Users\enrik\ezzio_app.py -> G:\AI\E-zzio\runtime\external\ezzio_app.py
2026-08-09 22:40:45.795 | MOVE SUCCESS | C:\Users\enrik\ezzio_app.py -> G:\AI\E-zzio\runtime\external\ezzio_app.py
2026-08-09 22:40:45.795 | MOVE CANDIDATE | C:\Users\enrik\lib\oracle-cli\Lib\site-packages__pycache__ -> G:\AI\E-zzio\runtime\cache__pycache__
2026-08-09 22:40:45.805 | MOVE SUCCESS | C:\Users\enrik\lib\oracle-cli\Lib\site-packages__pycache__ -> G:\AI\E-zzio\runtime\cache__pycache__
2026-08-09 22:40:45.805 | MOVE CANDIDATE | C:\Users\enrik\lib\oracle-cli\Lib\site-packages_distutils_hack__pycache__ -> G:\AI\E-zzio\runtime\cache__pycache__
2026-08-09 22:40:45.807 | MOVE CANDIDATE | C:\Users\enrik\lib\oracle-cli\Lib\site-packages_yaml__pycache__ -> G:\AI\E-zzio\runtime\cache__pycache__
2026-08-09 22:40:45.808 | MOVE CANDIDATE | C:\Users\enrik\lib\oracle-cli\Lib\site-packages\alloy__pycache__ -> G:\AI\E-zzio\runtime\cache__pycache__
2026-08-09 22:40:45.810 | MOVE CANDIDATE | C:\Users\enrik\lib\oracle-cli\Lib\site-packages\arrow__pycache__ -> G:\AI\E-zzio\runtime\cache__pycache__
2026-08-09 22:40:45.811 | MOVE CANDIDATE | C:\Users\enrik\lib\oracle-cli\Lib\site-packages\certifi__pycache__ -> G:\AI\E-zzio\runtime\cache__pycache__
2026-08-09 22:40:45.812 | MOVE CANDIDATE | C:\Users\enrik\lib\oracle-cli\Lib\site-packages\cffi__pycache__ -> G:\AI\E-zzio\runtime\cache__pycache__
2026-08-09 22:40:45.814 | MOVE CANDIDATE | C:\Users\enrik\lib\oracle-cli\Lib\site-packages\click__pycache__ -> G:\AI\E-zzio\runtime\cache__pycache__
2026-08-09 22:40:45.815 | MOVE CANDIDATE | C:\Users\enrik\lib\oracle-cli\Lib\site-packages\colorama__pycache__ -> G:\AI\E-zzio\runtime\cache__pycache__
2026-08-09 22:40:45.817 | MOVE CANDIDATE | C:\Users\enrik\lib\oracle-cli\Lib\site-packages\colorama\tests__pycache__ -> G:\AI\E-zzio\runtime\cache__pycache__
2026-08-09 22:40:45.818 | MOVE CANDIDATE | C:\Users\enrik\lib\oracle-cli\Lib\site-packages\common_util__pycache__ -> G:\AI\E-zzio\runtime\cache__pycache__
2026-08-09 22:40:45.819 | MOVE CANDIDATE | C:\Users\enrik\lib\oracle-cli\Lib\site-packages\crc32c__pycache__ -> G:\AI\E-zzio\runtime\cache__pycache__
2026-08-09 22:40:45.821 | MOVE CANDIDATE | C:\Users\enrik\lib\oracle-cli\Lib\site-packages\cryptography__pycache__ -> G:\AI\E-zzio\runtime\cache__pycache__
2026-08-09 22:40:45.823 | MOVE CANDIDATE | C:\Users\enrik\lib\oracle-cli\Lib\site-packages\cryptography\hazmat__pycache__ -> G:\AI\E-zzio\runtime\cache__pycache__
2026-08-09 22:40:45.824 | MOVE CANDIDATE | C:\Users\enrik\lib\oracle-cli\Lib\site-packages\cryptography\hazmat\asn1__pycache__ -> G:\AI\E-zzio\runtime\cache__pycache__
2026-08-09 22:40:45.827 | MOVE CANDIDATE | C:\Users\enrik\lib\oracle-cli\Lib\site-packages\cryptography\hazmat\backends__pycache__ -> G:\AI\E-zzio\runtime\cache__pycache__
2026-08-09 22:40:45.828 | MOVE CANDIDATE | C:\Users\enrik\lib\oracle-cli\Lib\site-packages\cryptography\hazmat\backends\openssl__pycache__ -> G:\AI\E-zzio\runtime\cache__pycache__
2026-08-09 22:40:45.830 | MOVE CANDIDATE | C:\Users\enrik\lib\oracle-cli\Lib\site-packages\cryptography\hazmat\bindings__pycache__ -> G:\AI\E-zzio\runtime\cache__pycache__
2026-08-09 22:40:45.831 | MOVE CANDIDATE | C:\Users\enrik\lib\oracle-cli\Lib\site-packages\cryptography\hazmat\bindings\openssl__pycache__ -> G:\AI\E-zzio\runtime\cache__pycache__
2026-08-09 22:40:45.833 | MOVE CANDIDATE | C:\Users\enrik\lib\oracle-cli\Lib\site-packages\cryptography\hazmat\decrepit__pycache__ -> G:\AI\E-zzio\runtime\cache__pycache__
2026-08-09 22:40:45.834 | MOVE CANDIDATE | C:\Users\enrik\lib\oracle-cli\Lib\site-packages\cryptography\hazmat\decrepit\ciphers__pycache__ -> G:\AI\E-zzio\runtime\cache__pycache__
2026-08-09 22:40:45.836 | MOVE CANDIDATE | C:\Users\enrik\lib\oracle-cli\Lib\site-packages\cryptography\hazmat\primitives__pycache__ -> G:\AI\E-zzio\runtime\cache__pycache__
2026-08-09 22:40:45.837 | MOVE CANDIDATE | C:\Users\enrik\lib\oracle-cli\Lib\site-packages\cryptography\hazmat\primitives\asymmetric__pycache__ -> G:\AI\E-zzio\runtime\cache__pycache__
2026-08-09 22:40:45.839 | MOVE CANDIDATE | C:\Users\enrik\lib\oracle-cli\Lib\site-packages\cryptography\hazmat\primitives\ciphers__pycache__ -> G:\AI\E-zzio\runtime\cache__pycache__
2026-08-09 22:40:45.840 | MOVE CANDIDATE | C:\Users\enrik\lib\oracle-cli\Lib\site-packages\cryptography\hazmat\primitives\kdf__pycache__ -> G:\AI\E-zzio\runtime\cache__pycache__
2026-08-09 22:40:45.842 | MOVE CANDIDATE | C:\Users\enrik\lib\oracle-cli\Lib\site-packages\cryptography\hazmat\primitives\serialization__pycache__ -> G:\AI\E-zzio\runtime\cache__pycache__
2026-08-09 22:40:45.843 | MOVE CANDIDATE | C:\Users\enrik\lib\oracle-cli\Lib\site-packages\cryptography\hazmat\primitives\twofactor__pycache__ -> G:\AI\E-zzio\runtime\cache__pycache__
2026-08-09 22:40:45.844 | MOVE CANDIDATE | C:\Users\enrik\lib\oracle-cli\Lib\site-packages\cryptography\x509__pycache__ -> G:\AI\E-zzio\runtime\cache__pycache__
2026-08-09 22:40:45.846 | MOVE CANDIDATE | C:\Users\enrik\lib\oracle-cli\Lib\site-packages\dateutil__pycache__ -> G:\AI\E-zzio\runtime\cache__pycache__
2026-08-09 22:40:45.848 | MOVE CANDIDATE | C:\Users\enrik\lib\oracle-cli\Lib\site-packages\dateutil\parser__pycache__ -> G:\AI\E-zzio\runtime\cache__pycache__
2026-08-09 22:40:45.850 | MOVE CANDIDATE | C:\Users\enrik\lib\oracle-cli\Lib\site-packages\dateutil\tz__pycache__ -> G:\AI\E-zzio\runtime\cache__pycache__
2026-08-09 22:40:45.851 | MOVE CANDIDATE | C:\Users\enrik\lib\oracle-cli\Lib\site-packages\dateutil\zoneinfo__pycache__ -> G:\AI\E-zzio\runtime\cache__pycache__
2026-08-09 22:40:45.852 | MOVE CANDIDATE | C:\Users\enrik\lib\oracle-cli\Lib\site-packages\interactive__pycache__ -> G:\AI\E-zzio\runtime\cache__pycache__
2026-08-09 22:40:45.854 | MOVE CANDIDATE | C:\Users\enrik\lib\oracle-cli\Lib\site-packages\jmespath__pycache__ -> G:\AI\E-zzio\runtime\cache__pycache__
2026-08-09 22:40:45.855 | MOVE CANDIDATE | C:\Users\enrik\lib\oracle-cli\Lib\site-packages\jwt__pycache__ -> G:\AI\E-zzio\runtime\cache__pycache__
2026-08-09 22:40:45.857 | MOVE CANDIDATE | C:\Users\enrik\lib\oracle-cli\Lib\site-packages\oci_cli__pycache__ -> G:\AI\E-zzio\runtime\cache__pycache__
2026-08-09 22:40:45.859 | MOVE CANDIDATE | C:\Users\enrik\lib\oracle-cli\Lib\site-packages\oci_cli\aliasing__pycache__ -> G:\AI\E-zzio\runtime\cache__pycache__
2026-08-09 22:40:45.860 | MOVE CANDIDATE | C:\Users\enrik\lib\oracle-cli\Lib\site-packages\oci_cli\custom_types__pycache__ -> G:\AI\E-zzio\runtime\cache__pycache__
2026-08-09 22:40:45.862 | MOVE CANDIDATE | C:\Users\enrik\lib\oracle-cli\Lib\site-packages\oci_cli\file_filters__pycache__ -> G:\AI\E-zzio\runtime\cache__pycache__
2026-08-09 22:40:45.863 | MOVE CANDIDATE | C:\Users\enrik\lib\oracle-cli\Lib\site-packages\oci_cli\help_text_producer__pycache__ -> G:\AI\E-zzio\runtime\cache__pycache__
2026-08-09 22:40:45.865 | MOVE CANDIDATE | C:\Users\enrik\lib\oracle-cli\Lib\site-packages\oci_cli\scripts__pycache__ -> G:\AI\E-zzio\runtime\cache__pycache__
2026-08-09 22:40:45.866 | MOVE CANDIDATE | C:\Users\enrik\lib\oracle-cli\Lib\site-packages\oci_cli\scripts\database__pycache__ -> G:\AI\E-zzio\runtime\cache__pycache__
2026-08-09 22:40:45.868 | MOVE CANDIDATE | C:\Users\enrik\lib\oracle-cli\Lib\site-packages\oci_cli\util__pycache__ -> G:\AI\E-zzio\runtime\cache__pycache__
2026-08-09 22:40:45.869 | MOVE CANDIDATE | C:\Users\enrik\lib\oracle-cli\Lib\site-packages\oci__pycache__ -> G:\AI\E-zzio\runtime\cache__pycache__
2026-08-09 22:40:45.870 | MOVE CANDIDATE | C:\Users\enrik\lib\oracle-cli\Lib\site-packages\oci_vendor__pycache__ -> G:\AI\E-zzio\runtime\cache__pycache__
2026-08-09 22:40:45.872 | MOVE CANDIDATE | C:\Users\enrik\lib\oracle-cli\Lib\site-packages\oci_vendor\chardet__pycache__ -> G:\AI\E-zzio\runtime\cache__pycache__
2026-08-09 22:40:45.873 | MOVE CANDIDATE | C:\Users\enrik\lib\oracle-cli\Lib\site-packages\oci_vendor\chardet\cli__pycache__ -> G:\AI\E-zzio\runtime\cache__pycache__
2026-08-09 22:40:45.875 | MOVE CANDIDATE | C:\Users\enrik\lib\oracle-cli\Lib\site-packages\oci_vendor\chardet\metadata__pycache__ -> G:\AI\E-zzio\runtime\cache__pycache__
2026-08-09 22:40:45.876 | MOVE CANDIDATE | C:\Users\enrik\lib\oracle-cli\Lib\site-packages\oci_vendor\httpsig_cffi__pycache__ -> G:\AI\E-zzio\runtime\cache__pycache__
2026-08-09 22:40:45.878 | MOVE CANDIDATE | C:\Users\enrik\lib\oracle-cli\Lib\site-packages\oci_vendor\idna__pycache__ -> G:\AI\E-zzio\runtime\cache__pycache__
2026-08-09 22:40:45.879 | MOVE CANDIDATE | C:\Users\enrik\lib\oracle-cli\Lib\site-packages\oci_vendor\requests__pycache__ -> G:\AI\E-zzio\runtime\cache__pycache__
2026-08-09 22:40:45.881 | MOVE CANDIDATE | C:\Users\enrik\lib\oracle-cli\Lib\site-packages\oci_vendor\sseclient__pycache__ -> G:\AI\E-zzio\runtime\cache__pycache__
2026-08-09 22:40:45.883 | MOVE CANDIDATE | C:\Users\enrik\lib\oracle-cli\Lib\site-packages\oci\access_governance_cp__pycache__ -> G:\AI\E-zzio\runtime\cache__pycache__
2026-08-09 22:40:45.885 | MOVE CANDIDATE | C:\Users\enrik\lib\oracle-cli\Lib\site-packages\oci\access_governance_cp\models__pycache__ -> G:\AI\E-zzio\runtime\cache__pycache__
2026-08-09 22:40:45.886 | MOVE CANDIDATE | C:\Users\enrik\lib\oracle-cli\Lib\site-packages\oci\addons__pycache__ -> G:\AI\E-zzio\runtime\cache__pycache__
2026-08-09 22:40:45.888 | MOVE CANDIDATE | C:\Users\enrik\lib\oracle-cli\Lib\site-packages\oci\addons\adk__pycache__ -> G:\AI\E-zzio\runtime\cache__pycache__
2026-08-09 22:40:45.890 | MOVE CANDIDATE | C:\Users\enrik\lib\oracle-cli\Lib\site-packages\oci\addons\adk\auth__pycache__ -> G:\AI\E-zzio\runtime\cache__pycache__
2026-08-09 22:40:45.891 | MOVE CANDIDATE | C:\Users\enrik\lib\oracle-cli\Lib\site-packages\oci\addons\adk\auth\oci__pycache__ -> G:\AI\E-zzio\runtime\cache__pycache__
2026-08-09 22:40:45.892 | MOVE CANDIDATE | C:\Users\enrik\lib\oracle-cli\Lib\site-packages\oci\addons\adk\mcp__pycache__ -> G:\AI\E-zzio\runtime\cache__pycache__
2026-08-09 22:40:45.893 | MOVE CANDIDATE | C:\Users\enrik\lib\oracle-cli\Lib\site-packages\oci\addons\adk\run__pycache__ -> G:\AI\E-zzio\runtime\cache__pycache__
2026-08-09 22:40:45.901 | MOVE CANDIDATE | C:\Users\enrik\lib\oracle-cli\Lib\site-packages\oci\addons\adk\tool__pycache__ -> G:\AI\E-zzio\runtime\cache__pycache__
2026-08-09 22:40:45.903 | MOVE CANDIDATE | C:\Users\enrik\lib\oracle-cli\Lib\site-packages\oci\addons\adk\tool\prebuilt__pycache__ -> G:\AI\E-zzio\runtime\cache__pycache__
2026-08-09 22:40:45.904 | MOVE CANDIDATE | C:\Users\enrik\lib\oracle-cli\Lib\site-packages\oci\adm__pycache__ -> G:\AI\E-zzio\runtime\cache__pycache__
2026-08-09 22:40:45.906 | MOVE CANDIDATE | C:\Users\enrik\lib\oracle-cli\Lib\site-packages\oci\adm\models__pycache__ -> G:\AI\E-zzio\runtime\cache__pycache__
2026-08-09 22:40:45.907 | MOVE CANDIDATE | C:\Users\enrik\lib\oracle-cli\Lib\site-packages\oci\ai_data_platform__pycache__ -> G:\AI\E-zzio\runtime\cache__pycache__
2026-08-09 22:40:45.909 | MOVE CANDIDATE | C:\Users\enrik\lib\oracle-cli\Lib\site-packages\oci\ai_data_platform\models__pycache__ -> G:\AI\E-zzio\runtime\cache__pycache__
2026-08-09 22:40:45.910 | MOVE CANDIDATE | C:\Users\enrik\lib\oracle-cli\Lib\site-packages\oci\ai_document__pycache__ -> G:\AI\E-zzio\runtime\cache__pycache__
2026-08-09 22:40:45.911 | MOVE CANDIDATE | C:\Users\enrik\lib\oracle-cli\Lib\site-packages\oci\ai_document\models__pycache__ -> G:\AI\E-zzio\runtime\cache__pycache__
2026-08-09 22:40:45.913 | MOVE CANDIDATE | C:\Users\enrik\lib\oracle-cli\Lib\site-packages\oci\ai_language__pycache__ -> G:\AI\E-zzio\runtime\cache__pycache__
2026-08-09 22:40:45.914 | MOVE CANDIDATE | C:\Users\enrik\lib\oracle-cli\Lib\site-packages\oci\ai_language\models__pycache__ -> G:\AI\E-zzio\runtime\cache__pycache__
2026-08-09 22:40:45.916 | MOVE CANDIDATE | C:\Users\enrik\lib\oracle-cli\Lib\site-packages\oci\ai_speech__pycache__ -> G:\AI\E-zzio\runtime\cache__pycache__
2026-08-09 22:40:45.918 | MOVE CANDIDATE | C:\Users\enrik\lib\oracle-cli\Lib\site-packages\oci\ai_speech\models__pycache__ -> G:\AI\E-zzio\runtime\cache__pycache__
2026-08-09 22:40:45.920 | MOVE CANDIDATE | C:\Users\enrik\lib\oracle-cli\Lib\site-packages\oci\ai_vision__pycache__ -> G:\AI\E-zzio\runtime\cache__pycache__
2026-08-09 22:40:45.921 | MOVE CANDIDATE | C:\Users\enrik\lib\oracle-cli\Lib\site-packages\oci\ai_vision\models__pycache__ -> G:\AI\E-zzio\runtime\cache__pycache__
2026-08-09 22:40:45.923 | MOVE CANDIDATE | C:\Users\enrik\lib\oracle-cli\Lib\site-packages\oci\analytics__pycache__ -> G:\AI\E-zzio\runtime\cache__pycache__
2026-08-09 22:40:45.924 | MOVE CANDIDATE | C:\Users\enrik\lib\oracle-cli\Lib\site-packages\oci\analytics\models__pycache__ -> G:\AI\E-zzio\runtime\cache__pycache__
2026-08-09 22:40:45.926 | MOVE CANDIDATE | C:\Users\enrik\lib\oracle-cli\Lib\site-packages\oci\announcements_service__pycache__ -> G:\AI\E-zzio\runtime\cache__pycache__
2026-08-09 22:40:45.927 | MOVE CANDIDATE | C:\Users\enrik\lib\oracle-cli\Lib\site-packages\oci\announcements_service\models__pycache__ -> G:\AI\E-zzio\runtime\cache__pycache__
2026-08-09 22:40:45.929 | MOVE CANDIDATE | C:\Users\enrik\lib\oracle-cli\Lib\site-packages\oci\api_platform__pycache__ -> G:\AI\E-zzio\runtime\cache__pycache__
2026-08-09 22:40:45.930 | MOVE CANDIDATE | C:\Users\enrik\lib\oracle-cli\Lib\site-packages\oci\api_platform\models__pycache__ -> G:\AI\E-zzio\runtime\cache__pycache__
2026-08-09 22:40:45.932 | MOVE CANDIDATE | C:\Users\enrik\lib\oracle-cli\Lib\site-packages\oci\apiaccesscontrol__pycache__ -> G:\AI\E-zzio\runtime\cache__pycache__
2026-08-09 22:40:45.933 | MOVE CANDIDATE | C:\Users\enrik\lib\oracle-cli\Lib\site-packages\oci\apiaccesscontrol\models__pycache__ -> G:\AI\E-zzio\runtime\cache__pycache__
2026-08-09 22:40:45.935 | MOVE CANDIDATE | C:\Users\enrik\lib\oracle-cli\Lib\site-packages\oci\apigateway__pycache__ -> G:\AI\E-zzio\runtime\cache__pycache__
2026-08-09 22:40:45.936 | MOVE CANDIDATE | C:\Users\enrik\lib\oracle-cli\Lib\site-packages\oci\apigateway\models__pycache__ -> G:\AI\E-zzio\runtime\cache__pycache__
2026-08-09 22:40:45.938 | MOVE CANDIDATE | C:\Users\enrik\lib\oracle-cli\Lib\site-packages\oci\apm_config__pycache__ -> G:\AI\E-zzio\runtime\cache__pycache__
2026-08-09 22:40:45.939 | MOVE CANDIDATE | C:\Users\enrik\lib\oracle-cli\Lib\site-packages\oci\apm_config\models__pycache__ -> G:\AI\E-zzio\runtime\cache__pycache__
2026-08-09 22:40:45.941 | MOVE CANDIDATE | C:\Users\enrik\lib\oracle-cli\Lib\site-packages\oci\apm_control_plane__pycache__ -> G:\AI\E-zzio\runtime\cache__pycache__
2026-08-09 22:40:45.942 | MOVE CANDIDATE | C:\Users\enrik\lib\oracle-cli\Lib\site-packages\oci\apm_control_plane\models__pycache__ -> G:\AI\E-zzio\runtime\cache__pycache__
2026-08-09 22:40:45.944 | MOVE CANDIDATE | C:\Users\enrik\lib\oracle-cli\Lib\site-packages\oci\apm_synthetics__pycache__ -> G:\AI\E-zzio\runtime\cache__pycache__
2026-08-09 22:40:45.946 | MOVE CANDIDATE | C:\Users\enrik\lib\oracle-cli\Lib\site-packages\oci\apm_synthetics\models__pycache__ -> G:\AI\E-zzio\runtime\cache__pycache__
2026-08-09 22:40:45.947 | MOVE CANDIDATE | C:\Users\enrik\lib\oracle-cli\Lib\site-packages\oci\apm_traces__pycache__ -> G:\AI\E-zzio\runtime\cache__pycache__
2026-08-09 22:40:45.948 | MOVE CANDIDATE | C:\Users\enrik\lib\oracle-cli\Lib\site-packages\oci\apm_traces\models__pycache__ -> G:\AI\E-zzio\runtime\cache__pycache__
2026-08-09 22:40:45.950 | MOVE CANDIDATE | C:\Users\enrik\lib\oracle-cli\Lib\site-packages\oci\appmgmt_control__pycache__ -> G:\AI\E-zzio\runtime\cache__pycache__
2026-08-09 22:40:45.951 | MOVE CANDIDATE | C:\Users\enrik\lib\oracle-cli\Lib\site-packages\oci\appmgmt_control\models__pycache__ -> G:\AI\E-zzio\runtime\cache__pycache__
2026-08-09 22:40:45.953 | MOVE CANDIDATE | C:\Users\enrik\lib\oracle-cli\Lib\site-packages\oci\artifacts__pycache__ -> G:\AI\E-zzio\runtime\cache__pycache__
