"Category","File","Line","Reference"
"REVIEW","G:\AI\E-zzio\.venv\pyvenv.cfg","1","home = C:\Users\enrik\AppData\Roaming\uv\python\cpython-3.11-windows-x86_64-none"
"PYTHON_RUNTIME","G:\AI\E-zzio\.venv\pyvenv.cfg","4","executable = C:\Users\enrik\AppData\Local\hermes\hermes-agent\venv\Scripts\python.exe"
"PYTHON_RUNTIME","G:\AI\E-zzio\.venv\pyvenv.cfg","5","command = C:\Users\enrik\AppData\Local\hermes\hermes-agent\venv\Scripts\python.exe -m venv G:\AI\E-zzio\.venv"
"REVIEW","G:\AI\E-zzio\.venv\Lib\site-packages\click\utils.py","489","``C:\Users\<user>\AppData\Roaming\Foo Bar``"
"REVIEW","G:\AI\E-zzio\.venv\Lib\site-packages\click\utils.py","491","``C:\Users\<user>\AppData\Local\Foo Bar``"
"REVIEW","G:\AI\E-zzio\.venv\Lib\site-packages\nltk\test\unit\test_platform_detection.py","21","environ={""APPDATA"": r""C:\Users\Codex\AppData\Roaming""},"
"REVIEW","G:\AI\E-zzio\.venv\Lib\site-packages\nltk\test\unit\test_platform_detection.py","31","downloader.default_download_dir() == r""C:\Users\Codex\AppData\Roaming\nltk_data"""
"REVIEW","G:\AI\E-zzio\.venv\Lib\site-packages\nltk\test\unit\test_platform_detection.py","36","appdata = r""C:\Users\Codex\AppData\Roaming"""
"REVIEW","G:\AI\E-zzio\.venv\Lib\site-packages\numba\misc\appdirs.py","68","Win 7  (not roaming):   C:\Users\<username>\AppData\Local\<AppAuthor>\<AppName>"
"REVIEW","G:\AI\E-zzio\.venv\Lib\site-packages\numba\misc\appdirs.py","69","Win 7  (roaming):       C:\Users\<username>\AppData\Roaming\<AppAuthor>\<AppName>"
"SYSTEM_APPLICATION","G:\AI\E-zzio\.venv\Lib\site-packages\numba\misc\appdirs.py","121","Vista:      (Fail! ""C:\ProgramData"" is a hidden *system* directory on Vista.)"
"SYSTEM_APPLICATION","G:\AI\E-zzio\.venv\Lib\site-packages\numba\misc\appdirs.py","122","Win 7:      C:\ProgramData\<AppAuthor>\<AppName>   # Hidden, but writeable on Win 7."
"SYSTEM_APPLICATION","G:\AI\E-zzio\.venv\Lib\site-packages\numba\misc\appdirs.py","227","Vista:      (Fail! ""C:\ProgramData"" is a hidden *system* directory on Vista.)"
"CACHE_OR_TEMP","G:\AI\E-zzio\.venv\Lib\site-packages\numba\misc\appdirs.py","276","Vista:      C:\Users\<username>\AppData\Local\<AppAuthor>\<AppName>\Cache"
"REVIEW","G:\AI\E-zzio\.venv\Lib\site-packages\numba\misc\appdirs.py","333","Vista:      C:\Users\<username>\AppData\Local\<AppAuthor>\<AppName>\Logs"
"CACHE_OR_TEMP","G:\AI\E-zzio\.venv\Lib\site-packages\numpy\__config__.py","96","""path"": r""C:\Users\runneradmin\AppData\Local\Temp\build-env-jxn7bo0g\Scripts\python.exe"","
"REVIEW","G:\AI\E-zzio\.venv\Lib\site-packages\pip\_vendor\platformdirs\windows.py","31","r"""""":returns: data directory tied to the user, e.g. ``%USERPROFILE%\AppData\Local\$appauthor\$appname`` (not roaming) or ``%USERPROFILE%\AppData\Roaming\$appauthor\$appname`` (roaming)"""""""
"SYSTEM_APPLICATION","G:\AI\E-zzio\.venv\Lib\site-packages\pip\_vendor\platformdirs\windows.py","53","r"""""":returns: data directory shared by users, e.g. ``C:\ProgramData\$appauthor\$appname``"""""""
"CACHE_OR_TEMP","G:\AI\E-zzio\.venv\Lib\site-packages\pip\_vendor\platformdirs\windows.py","69","r"""""":returns: cache directory tied to the user (if opinionated with ``Cache`` folder within ``$appname``) e.g. ``%USERPROFILE%\AppData\Local\$appauthor\$appname\Cache\$version``"""""""
"CACHE_OR_TEMP","G:\AI\E-zzio\.venv\Lib\site-packages\pip\_vendor\platformdirs\windows.py","75","r"""""":returns: cache directory shared by users, e.g. ``C:\ProgramData\$appauthor\$appname\Cache\$version``"""""""
"REVIEW","G:\AI\E-zzio\.venv\Lib\site-packages\pip\_vendor\platformdirs\windows.py","144","r"""""":returns: public share directory e.g. ``C:\Users\Public``"""""""
"SYSTEM_APPLICATION","G:\AI\E-zzio\.venv\Lib\site-packages\pip\_vendor\platformdirs\windows.py","179","r"""""":returns: applications directory shared by users, e.g. ``C:\ProgramData\Microsoft\Windows\Start Menu\Programs``"""""""
"CACHE_OR_TEMP","G:\AI\E-zzio\.venv\Lib\site-packages\pip\_vendor\platformdirs\windows.py","184","r"""""":returns: runtime directory tied to the user, e.g. ``%USERPROFILE%\AppData\Local\Temp\$appauthor\$appname``"""""""
"SYSTEM_APPLICATION","G:\AI\E-zzio\.venv\Lib\site-packages\pygments\lexers\automation.py","211","# c:\Program Files (x86)\AutoIt3\SciTE\au3.keywords.properties"
"CACHE_OR_TEMP","G:\AI\E-zzio\.venv\Lib\site-packages\scipy\__config__.py","62","""include directory"": r""C:\Users\runneradmin\AppData\Local\Temp\build-env-hzj9j4z9\Lib\site-packages/pythran"""
"CACHE_OR_TEMP","G:\AI\E-zzio\.venv\Lib\site-packages\scipy\__config__.py","111","""path"": r""C:\Users\runneradmin\AppData\Local\Temp\build-env-hzj9j4z9\Scripts\python.exe"","
"SYSTEM_APPLICATION","G:\AI\E-zzio\.venv\Lib\site-packages\setuptools\msvc.py","432","""C:\ProgramData\Microsoft\VisualStudio\Packages\_Instances""."
"SYSTEM_APPLICATION","G:\AI\E-zzio\.venv\Lib\site-packages\setuptools\msvc.py","440","instances_dir = r'C:\ProgramData\Microsoft\VisualStudio\Packages\_Instances'"
"SYSTEM_APPLICATION","G:\AI\E-zzio\.venv\Lib\site-packages\setuptools\tests\test_easy_install.py","1278","exe_with_spaces = r'C:\Program Files\Python36\python.exe'"
"REVIEW","G:\AI\E-zzio\.venv\Lib\site-packages\typer\_click\utils.py","349","``C:\Users\<user>\AppData\Roaming\Foo Bar``"
"REVIEW","G:\AI\E-zzio\.venv\Lib\site-packages\typer\_click\utils.py","351","``C:\Users\<user>\AppData\Local\Foo Bar``"
"PYTHON_RUNTIME","G:\AI\E-zzio\.venv\Scripts\Activate.ps1","31","Activate.ps1 -VenvDir C:\Users\MyUser\Common\.venv"
"AI_MODEL_RUNTIME","G:\AI\E-zzio\runtime\audit\intelligence_scan\V7_REGISTRY\V7_10_2_EMISSION_EVENT_REPORT.md","14","- Ligne 656 : `""C:\Users\enrik\AppData\Roaming\npm\opencode.cmd"" run -m ollama/qwen2.5-coder:7b -i`"
"SYSTEM_APPLICATION","G:\AI\E-zzio\runtime\audit\pc_software_inventory\path_entries_20260814-151513.txt","1","C:\Program Files (x86)\cloudflared\"
"SYSTEM_APPLICATION","G:\AI\E-zzio\runtime\audit\pc_software_inventory\path_entries_20260814-151513.txt","2","C:\Program Files (x86)\NVIDIA Corporation\PhysX\Common"
"SYSTEM_APPLICATION","G:\AI\E-zzio\runtime\audit\pc_software_inventory\path_entries_20260814-151513.txt","3","C:\Program Files\CMake\bin"
"SYSTEM_APPLICATION","G:\AI\E-zzio\runtime\audit\pc_software_inventory\path_entries_20260814-151513.txt","4","C:\Program Files\dotnet\"
"SYSTEM_APPLICATION","G:\AI\E-zzio\runtime\audit\pc_software_inventory\path_entries_20260814-151513.txt","5","C:\Program Files\Eclipse Adoptium\jdk-17.0.19.10-hotspot\bin"
