"Category","File","Line","Match"
"RUNTIME","G:\AI\E-zzio\runtime\audit\intelligence_scan\V7_REGISTRY\V7_10_2_EMISSION_EVENT_REPORT.md","14","- Ligne 656 : `""C:\Users\enrik\AppData\Roaming\npm\opencode.cmd"" run -m ollama/qwen2.5-coder:7b -i`"
"RUNTIME","G:\AI\E-zzio\runtime\audit\pc_software_inventory\path_entries_20260814-151513.txt","15","C:\Users\enrik\AppData\Local\hermes\bin"
"RUNTIME","G:\AI\E-zzio\runtime\audit\pc_software_inventory\path_entries_20260814-151513.txt","16","C:\Users\enrik\AppData\Local\hermes\hermes-agent\venv\Scripts"
"RUNTIME","G:\AI\E-zzio\runtime\audit\pc_software_inventory\path_entries_20260814-151513.txt","17","C:\Users\enrik\AppData\Local\Microsoft\WindowsApps"
"RUNTIME","G:\AI\E-zzio\runtime\audit\pc_software_inventory\path_entries_20260814-151513.txt","18","C:\Users\enrik\AppData\Local\Microsoft\WinGet\Links"
"RUNTIME","G:\AI\E-zzio\runtime\audit\pc_software_inventory\path_entries_20260814-151513.txt","19","C:\Users\enrik\AppData\Local\Programs\Python\Launcher\"
"RUNTIME","G:\AI\E-zzio\runtime\audit\pc_software_inventory\path_entries_20260814-151513.txt","20","C:\Users\enrik\AppData\Roaming\npm"
"RUNTIME","G:\AI\E-zzio\runtime\audit\pc_software_inventory\path_entries_20260814-151513.txt","21","C:\Users\enrik\bin"
"RUNTIME","G:\AI\E-zzio\runtime\audit\pc_software_inventory\v2\python_packages_20260814-151640.txt","42","hermes-agent                 0.18.2      C:\Users\enrik\AppData\Local\hermes\hermes-agent"
"RUNTIME","G:\AI\E-zzio\runtime\audit\pc_software_inventory\v2\software_locations_20260814-151640.txt","3","C:\Users\enrik\AppData\Local"
"RUNTIME","G:\AI\E-zzio\runtime\audit\pc_software_inventory\v2\software_locations_20260814-151640.txt","4","C:\Users\enrik\AppData\Local\Programs"
"RUNTIME","G:\AI\E-zzio\runtime\audit\pc_software_inventory\v2\software_locations_20260814-151640.txt","5","C:\Users\enrik\AppData\Roaming"
"RUNTIME","G:\AI\E-zzio\runtime\audit\storage_migration\AI_STORAGE_FORENSIC_20260814_152956.txt","29","C     C:\Users\enrik\AppData\Local\hermes\hermes-agent\venv\Lib\site-packages\distutils-precedence.pth"
"RUNTIME","G:\AI\E-zzio\runtime\audit\storage_migration\AI_STORAGE_FORENSIC_20260814_152956.txt","30","C     C:\Users\enrik\AppData\Local\hermes\hermes-agent\venv\Lib\site-packages\_virtualenv.pth"
"RUNTIME","G:\AI\E-zzio\runtime\audit\storage_migration\AI_STORAGE_FORENSIC_20260814_152956.txt","31","C     C:\Users\enrik\AppData\Local\hermes\hermes-agent\venv\Lib\site-packages\__editable__.hermes_agent-0.18.2.pth"
"RUNTIME","G:\AI\E-zzio\runtime\audit\storage_migration\AI_STORAGE_FORENSIC_20260814_152956.txt","32","C     C:\Users\enrik\AppData\Local\FortniteGame\Intermediate\PipInstall\Lib\site-packages\learning_agents.pth"
"RUNTIME","G:\AI\E-zzio\runtime\audit\storage_migration\AI_STORAGE_FORENSIC_20260814_152956.txt","33","C     C:\Users\enrik\.cache\codex-runtimes\codex-primary-runtime\dependencies\python\Lib\site-packages\distutils-preceden…"
"RUNTIME","G:\AI\E-zzio\runtime\audit\storage_migration\AI_STORAGE_FORENSIC_20260814_152956.txt","34","C     C:\Users\enrik\.cache\huggingface\hub\models--hexgrad--Kokoro-82M\snapshots\f3ff3571791e39611d31c381e3a41a3af07b498…"
"RUNTIME","G:\AI\E-zzio\runtime\audit\storage_migration\AI_STORAGE_FORENSIC_20260814_152956.txt","35","C     C:\Users\enrik\AppData\Local\uv\cache\archive-v0\KTY55-bOFPDUZYqo\__editable__.hermes_agent-0.18.2.pth"
"RUNTIME","G:\AI\E-zzio\runtime\audit\storage_migration\AI_STORAGE_FORENSIC_20260814_152956.txt","36","C     C:\Users\enrik\AppData\Local\uv\cache\archive-v0\sx7BjHkbJPbjYW_c\pywin32.pth"
"RUNTIME","G:\AI\E-zzio\runtime\audit\storage_migration\AI_STORAGE_FORENSIC_20260814_152956.txt","37","C     C:\Users\enrik\AppData\Local\uv\cache\archive-v0\T9yQXqrMKKRAEI9v\distutils-precedence.pth"
"RUNTIME","G:\AI\E-zzio\runtime\audit\storage_migration\AI_STORAGE_FORENSIC_20260814_152956.txt","38","C     C:\Users\enrik\AppData\Roaming\uv\python\cpython-3.11.15-windows-x86_64-none\Lib\site-packages\distutils-precedence…"
"RUNTIME","G:\AI\E-zzio\runtime\audit\storage_migration\AI_STORAGE_FORENSIC_20260814_152956.txt","39","C     C:\Users\enrik\lib\oracle-cli\Lib\site-packages\distutils-precedence.pth"
"RUNTIME","G:\AI\E-zzio\runtime\audit\storage_migration\AI_STORAGE_FORENSIC_20260814_152956.txt","40","C     C:\Users\enrik\AppData\Local\hermes\hermes-agent\venv\Lib\site-packages\google_generativeai-0.8.6-py3.13-nspkg.pth"
"RUNTIME","G:\AI\E-zzio\runtime\audit\storage_migration\AI_STORAGE_FORENSIC_20260814_152956.txt","41","C     C:\Users\enrik\AppData\Local\hermes\hermes-agent\venv\Lib\site-packages\pywin32.pth"
"RUNTIME","G:\AI\E-zzio\runtime\audit\storage_migration\AI_STORAGE_FORENSIC_20260814_152956.txt","42","C     C:\Users\enrik\AppData\Roaming\uv\python\cpython-3.11.15-windows-x86_64-none\Lib\ensurepip\_bundled\pip-24.0-py3-no…"
"RUNTIME","G:\AI\E-zzio\runtime\audit\storage_migration\AI_STORAGE_FORENSIC_20260814_152956.txt","43","C     C:\Users\enrik\.cache\codex-runtimes\codex-primary-runtime\dependencies\python\Lib\ensurepip\_bundled\pip-25.0.1-py…"
"RUNTIME","G:\AI\E-zzio\runtime\audit\storage_migration\AI_STORAGE_FORENSIC_20260814_152956.txt","44","C     C:\Users\enrik\AppData\Roaming\uv\python\cpython-3.14.5-windows-x86_64-none\Lib\ensurepip\_bundled\pip-26.1.1-py3-n…"
"RUNTIME","G:\AI\E-zzio\runtime\audit\storage_migration\AI_STORAGE_FORENSIC_20260814_152956.txt","45","C     C:\Users\enrik\AppData\Roaming\uv\python\cpython-3.11.15-windows-x86_64-none\Lib\ensurepip\_bundled\setuptools-79.0…"
"RUNTIME","G:\AI\E-zzio\runtime\audit\storage_migration\AI_STORAGE_FORENSIC_20260814_152956.txt","46","C     C:\Users\enrik\AppData\Local\uv\cache\sdists-v9\editable\5f1b90d7dff4884f\tNCA1-J7jrw8IJgB\hermes_agent-0.18.2-0.ed…"
"RUNTIME","G:\AI\E-zzio\runtime\audit\storage_migration\AI_STORAGE_FORENSIC_20260814_152956.txt","55","C     C:\Users\enrik\AppData\Local\Ubisoft\Rainbow Six - Siege\ekshadersPCDX12_cache.bin"
"RUNTIME","G:\AI\E-zzio\runtime\audit\storage_migration\AI_STORAGE_FORENSIC_20260814_152956.txt","58","C     C:\Users\enrik\AppData\Local\zen\Profiles\45jchyg8.Default (release)\startupCache\scriptCache-current.bin"
