"Drive","Path","Name","Extension","SizeGB","SizeMB","LastWrite","Type"
"G","G:\Ollama\Models\manifests\registry.ollama.ai\library\gemma-4-E4B-it-Q4_K_M.gguf","gemma-4-E4B-it-Q4_K_M.gguf",".gguf","4,969","5088,1","28/05/2026 22:03:07","Model/File"
"G","G:\AI\E-zzio\runtime\realtime\models\kokoro\current\kokoro-v0_19.onnx","kokoro-v0_19.onnx",".onnx","0,303","310,4","13/08/2026 23:12:45","Model/File"
"C","C:\ProgramData\NVIDIA\NGX\models\dlss\versions\20317696\files\160_E658700.bin","160_E658700.bin",".bin","0,069","70,6","31/03/2026 19:08:50","Model/File"
"C","C:\ProgramData\NVIDIA\NGX\models\dlss\versions\20317442\files\160_E658700.bin","160_E658700.bin",".bin","0,069","70,4","14/01/2026 12:56:27","Model/File"
"C","C:\ProgramData\NVIDIA\NGX\models\dlss\versions\20317440\files\160_E658700.bin","160_E658700.bin",".bin","0,069","70,4","10/01/2026 21:48:54","Model/File"
"C","C:\ProgramData\NVIDIA\NGX\models\dlssd\versions\20316928\files\160_E658700.bin","160_E658700.bin",".bin","0,068","69,6","05/12/2025 11:52:30","Model/File"
"G","G:\AI\E-zzio\runtime\realtime\audio\voices\fr_FR-siwis-medium.onnx","fr_FR-siwis-medium.onnx",".onnx","0,059","60,3","13/08/2026 21:23:22","Model/File"
"C","C:\ProgramData\NVIDIA\NGX\models\dlssd\versions\20317696\files\160_E658700.bin","160_E658700.bin",".bin","0,056","57,1","31/03/2026 19:08:51","Model/File"
"C","C:\ProgramData\NVIDIA\NGX\models\dlssd\versions\20317440\files\160_E658700.bin","160_E658700.bin",".bin","0,056","57,1","10/01/2026 21:48:54","Model/File"
"C","C:\ProgramData\NVIDIA\NGX\models\dlssd\versions\20317442\files\160_E658700.bin","160_E658700.bin",".bin","0,056","57,1","14/01/2026 12:56:27","Model/File"
"C","C:\ProgramData\NVIDIA\NGX\models\dlss\versions\20316928\files\160_E658700.bin","160_E658700.bin",".bin","0,046","46,7","05/12/2025 11:52:30","Model/File"
"C","C:\Users\enrik\AppData\Local\Ubisoft\Rainbow Six - Siege\ekshadersPCDX12_cache.bin","ekshadersPCDX12_cache.bin",".bin","0,038","39,3","27/01/2026 15:12:57","Model/File"
"C","C:\ProgramData\Microsoft\Windows Defender\Scans\mpcache-4115FABF84F9EC04AA50BCD085F3FA4164073629.bin","mpcache-4115FABF84F9EC04AA50BCD085F3FA4164073629.bin",".bin","0,034","35,1","14/08/2026 10:29:19","Model/File"
"C","C:\ProgramData\NVIDIA\NGX\models\dlss\versions\131529\files\160_B9BF564.bin","160_B9BF564.bin",".bin","0,014","14,2","05/12/2025 11:52:32","Model/File"
"C","C:\Users\enrik\AppData\Local\zen\Profiles\45jchyg8.Default (release)\startupCache\scriptCache.bin","scriptCache.bin",".bin","0,014","14","22/07/2026 16:33:00","Model/File"
"C","C:\ProgramData\NVIDIA\NGX\models\dlss\versions\131529\files\160_B9FACDC.bin","160_B9FACDC.bin",".bin","0,014","14,2","05/12/2025 11:52:24","Model/File"
"C","C:\ProgramData\NVIDIA\NGX\models\dlss\versions\131529\files\160_B9C3560.bin","160_B9C3560.bin",".bin","0,014","14,2","05/12/2025 11:52:34","Model/File"
"C","C:\Users\enrik\AppData\Local\zen\Profiles\45jchyg8.Default (release)\startupCache\scriptCache-current.bin","scriptCache-current.bin",".bin","0,014","14","22/07/2026 15:01:04","Model/File"
"C","C:\ProgramData\NVIDIA\NGX\models\dlss\versions\131599\files\160_B9CF688.bin","160_B9CF688.bin",".bin","0,013","13,8","05/12/2025 11:52:20","Model/File"
"C","C:\Users\enrik\AppData\Local\NVIDIA\GLCache\770f4fef79200de23d313865e4691c0d\186620256eaaf137\c6e976b0770384dd.bin","c6e976b0770384dd.bin",".bin","0,012","12,3","11/08/2026 19:41:14","Model/File"
"C","C:\Users\enrik\AppData\Local\librewolf\Profiles\v46y8z83.default-default\startupCache\scriptCache.bin","scriptCache.bin",".bin","0,012","12,4","22/07/2026 13:29:54","Model/File"
"C","C:\Users\enrik\AppData\Local\librewolf\Profiles\v46y8z83.default-default\startupCache\scriptCache-current.bin","scriptCache-current.bin",".bin","0,012","12,3","21/07/2026 15:45:18","Model/File"
"C","C:\ProgramData\NVIDIA\NGX\models\dlss\versions\131356\files\160_B9B0430.bin","160_B9B0430.bin",".bin","0,011","11,2","05/12/2025 11:52:37","Model/File"
"C","C:\ProgramData\NVIDIA\NGX\models\dlss\versions\66158\files\160_B9D2F5C.bin","160_B9D2F5C.bin",".bin","0,011","11,2","05/12/2025 11:52:17","Model/File"
"C","C:\ProgramData\NVIDIA\NGX\models\dlss\versions\66157\files\160_E99B5EC.bin","160_E99B5EC.bin",".bin","0,011","11,2","05/12/2025 11:52:09","Model/File"
"C","C:\ProgramData\NVIDIA\NGX\models\dlss\versions\66157\files\160_B9DAE68.bin","160_B9DAE68.bin",".bin","0,011","11,2","05/12/2025 11:52:19","Model/File"
"C","C:\ProgramData\NVIDIA\NGX\models\dlss\versions\66157\files\160_B9D8C54.bin","160_B9D8C54.bin",".bin","0,011","11,2","05/12/2025 11:52:21","Model/File"
